date,hour,temperature_c
2025-12-11,0,14.766666666666666
2025-12-11,1,14.066666666666668
2025-12-11,2,13.5
2025-12-11,3,12.966666666666667
2025-12-11,4,12.533333333333333
2025-12-11,5,12.299999999999999
2025-12-11,6,11.966666666666667
2025-12-11,7,13.033333333333333
2025-12-11,8,17.3
2025-12-11,9,21.46666666666667
2025-12-11,10,24.066666666666666
2025-12-11,11,25.833333333333332
2025-12-11,12,26.96666666666667
2025-12-11,13,27.53333333333333
2025-12-11,14,27.566666666666666
2025-12-11,15,27.133333333333336
2025-12-11,16,25.96666666666667
2025-12-11,17,22.96666666666667
2025-12-11,18,20.133333333333333
2025-12-11,19,18.3
2025-12-11,20,16.966666666666665
2025-12-11,21,16.066666666666666
2025-12-11,22,15.333333333333334
2025-12-11,23,14.433333333333332
